filename,notes,authors,licenses,urls
"body/bodies/child/walk/olive.png","","bluecarrot16, Benjamin K. Smith (BenCreating), ElizaWy, MuffinElZangano, Durrani, Nila122, kheftel, Stephen Challener (Redshrike)","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles, https://opengameart.org/content/lpc-child-standing-template, https://opengameart.org/content/lpc-children-walk-animation, https://opengameart.org/content/lpc-male-jumping-animation-by-durrani, https://opengameart.org/content/lpc-male-jumping-animation-by-durrani, https://opengameart.org/content/lpc-jump-expanded, https://opengameart.org/content/lpc-jump-expanded"
"head/heads/human/child/walk/olive.png","","Stephen Challener (Redshrike), kheftel, bluecarrot16","OGA-BY 3.0, CC-BY 3.0, GPL 3.0","https://opengameart.org/content/, https://opengameart.org/content/lpc-child-standing-template, https://opengameart.org/content/lpc-character-bases"
"hair/relm_short/child/walk/dark_brown.png","","JaidynReiman","OGA-BY 3.0+, CC-BY 3.0+, GPL 3.0","https://opengameart.org/content/lpc-relm-hair-xlong-ponytail"
"torso/clothes/shirt/child/walk/brown.png","","Nila122","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/lpc-clothes-for-children"
"legs/pants/child/walk/black.png","","Nila122","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/lpc-clothes-for-children"
